Dataset Size	Classifier	Accuracy	Confusion Matrix
1000	Logistic Regression	0.795	"[[91 15]
 [26 68]]"
1000	Decision Tree	0.57	"[[59 47]
 [39 55]]"
1000	LinearSVC	0.66	"[[73 33]
 [35 59]]"
1000	KNN	0.6	"[[87 19]
 [61 33]]"
1000	Random Forest	0.515	"[[64 42]
 [55 39]]"
10000	Logistic Regression	0.8435	"[[834 169]
 [144 853]]"
10000	Decision Tree	0.569	"[[539 464]
 [398 599]]"
10000	LinearSVC	0.784	"[[757 246]
 [186 811]]"
10000	KNN	0.592	"[[803 200]
 [616 381]]"
10000	Random Forest	0.6335	"[[682 321]
 [412 585]]"
100000	Logistic Regression	0.8632	"[[8266 1734]
 [1002 8998]]"
100000	Decision Tree	0.5579	"[[5504 4496]
 [4346 5654]]"
100000	LinearSVC	0.7794	"[[8120 1880]
 [2532 7468]]"
100000	KNN	0.59675	"[[8368 1632]
 [6433 3567]]"
100000	Random Forest	0.66175	"[[6502 3498]
 [3267 6733]]"
1000000	Logistic Regression	0.867435	"[[82203 17651]
 [ 8862 91284]]"
1000000	Decision Tree	0.571895	"[[56280 43574]
 [42047 58099]]"
1000000	LinearSVC	0.79103	"[[77198 22656]
 [19138 81008]]"
1000000	KNN	0.602365	"[[88096 11758]
 [67769 32377]]"
1000000	Random Forest	0.682735	"[[65728 34126]
 [29327 70819]]"
