Dataset_Size	Classifier	Mean_Accuracy	Std_Accuracy
1000	Logistic Regression	0.7540000000000001	0.022226110770892888
1000	Decision Tree	0.538	0.03802630668366308
1000	LinearSVC	0.639	0.03484250278036872
1000	KNN	0.5429999999999999	0.03155946767611899
1000	Random Forest	0.599	0.0467332857821917
10000	Logistic Regression	0.834	0.005916079783099632
10000	Decision Tree	0.5593	0.006742403132415001
10000	LinearSVC	0.782	0.005431390245600111
10000	KNN	0.5882	0.0038807215823864357
10000	Random Forest	0.6343	0.003280243893371337
100000	Logistic Regression	0.86539	0.0012005831916198195
100000	Decision Tree	0.55836	0.003592130287169461
100000	LinearSVC	0.79198	0.009353961727524854
100000	KNN	0.5948100000000001	0.0018977354926332593
100000	Random Forest	0.66236	0.0016128856128070637
1000000	Logistic Regression	0.8684010000000001	0.0007281030146895261
1000000	Decision Tree	0.572427	0.0013332014101402937
1000000	LinearSVC	0.7991520000000001	0.0032962730469425694
1000000	KNN	0.6021029999999999	0.0004024499968940265
1000000	Random Forest	0.6836599999999999	0.0006223905526275303
